Title |point
Baby's Breath |47
Graditude |40
Little Wish |36
君をつれて |35
La La Love Call |34
Melody |32
チェルシーガール |31
W:Wonder tale |30
Exactly |29
未来パラソル |27
Tremolo Mellow |27
ケセラセラ |26
雨のパンセ |25
デイジー・ブルー |25
ブルジェオンの薔薇 |25
Hello Again |24
Honey Moon |23
プレゼント |23
永遠のひとつ |23
Cherry Kiss |22
恋のタイムマシン |21
Super Special Smiling Shy Girl |21
fancy baby doll |21
Fanfare |20
うらはら兎のねがいこと |19
My wish My love |19
candy smile |18
上弦の月 |18
嘘 |18
Fortune of Love |17
Umbrella Sign |17
それは奇跡なんかじゃない |16
ガラスの靴にMoonglow |16
Princess Rose |16
ひとりあやとり |16
未来の果てにEscort |15
ゆかりはゆかり♥ |15
チクチク |15
涙のち晴れマーク |15
童話迷宮 |14
好きだって言えなくて |14
Tiny Rainbow |14
くちびるプラトニック |14
忘れな月 |14
惑星のランデブー |13
Sweetest Love |13
Cursed Lily |13
宵待ちの花 |13
さよならを おしえて |13
横顔 |13
恋の天使はチャイムから |13
mon chéri |12
Moonhole |12
LOVE ME NOW! |12
You & Me |12
I DO 愛 |12
花チル夜道 |12
バンビーノ・バンビーナ |11
恋せよ女の子 |11
不可触な愛 |10
Fantastic Future |10
眠れぬ夜につかまえて |10
あのね Love me Do |10
レゾンデートルの鍵 |10
QT Two-Face |9
心の扉 |9
Everlasting Voice |9
ほんのり桜色 |9
Endless Story |9
星屑スパイラル |9
空の向こう側に |9
miss you |9
花火 |9
Spring fever |9
エキセントリック・ラヴァー |9
100 CARAT HEART |8
you |8
あなただけに〜it's only my Love〜 |8
ちょっとだけワルイコ |8
つぼみのままで |8
アンドロメダまで1hour |8
Snow Bird |8
天使のお仕事 |8
恋のチカラ |8
逢うたびキミを好きになる |8
Spiritual Garden |8
ぜんぶきみのせい。 |8
Butterfly*kiss |8
Shining Rabbit |8
Pink Pygmalion |8
Never Let You Go |7
Moonlight Secret |7
YOURS EVER |7
神聖炉 |7
神様 Rescue me !! |7
Lost Sequence |7
真新しいカレンダー |7
お散歩しようよ |7
I.N.G. |7
星空のSpica |7
大好きと涙 |7
Closing tears |7
Eternity |7
滑空の果てのイノセント |6
恋のアゲハ |6
Next landscape |6
新月のpollen |6
ひとひらの恋 |6
まだ好きでいさせて |6
聴こえないように♥ |6
わすれもの |6
私だけMissing |6
秘密の扉から会いにきて |6
LUNATICA MARE |6
楽園巡礼 |6
ジェラシーのその後で |6
砂落ちる水の宮殿 |6
おしえて AtoZ |6
Heavenly Stars |6
パピィ・ラブ |6
Lovely Magic |6
星降る夢で逢いましょう |6
floral blue |6
Only Oneのあなたのせいよ |6
Sweet Darlin' |6
Sunny Spot |6
My life is great |5
Under Lover |5
if |5
Catch me Cats me |5
Bad eclipse |5
Masquerade Kiss |5
キャラメル |5
Trouble Emotion |5
微笑みのプルマージュ |5
Don't wake me & Up |5
ENDLESS MEMORIES |5
わがままな I LOVE YOU |5
シュガー・チューン |4
SECRET EYES |4
Sympathy of Love |4
アイ マイ ボーダー |4
月華 |4
エアシューター |4
Trust me,trust you |4
セルフィッシュ |4
チアガール in my heart |4
Fallin' into you |4
Rainy Rainy Sunday |4
片想いルーレット |4
Traveling with a sheep |4
Double Fascination |4
Non-Stopping Train |4
ひと夏の秘密 |4
14秒後にKISSして♥ |4
Super Special Day |4
AMBER~人魚の淚~ |4
もうちょっとFall in Love |4
涙のループ |4
Happy Life |4
嘆きの丘 |4
MERRY MERRY MERRY MENU • • • ね ! |4
Sensitive Venus |4
囀りのない部屋 |3
咲かせて乙女 |3
Sweet Trap |3
ラブリィレクチャー |3
Amazing Kiss |3
レリーフのひとかけら |3
Le paradis |3
Cutie Cutie |3
SUKI KIRAI |3
片方だけのイヤリング|3
Angel Pride |3
夢見月のアリス |3
楽園 |3
Darling Darling |3
PINK AQUARIUM |3
きっと言える |3
薔薇のロマンセ 月のセレーネ |3
最果ての森 |3
Pandora & Chimera |3
恋は波のように |3
Petite lumiere |3
Bejewel Escape |3
Picnic |3
アンジュ・パッセ |3
裸足のプリンセス |3
恋と夢と空時計 |3
シレーヌの心音 |3
+メタウサ姫〜黒ゆかり王国ミサ〜+ | 2
好き...でもリベンジ |2
恋歌姫 |2
指切りしよう |2
Sugar Time Trip |2
HITOME VOLTAGE |2
月の魔法で恋したい |2
Trable Emotion |2
Love parade |2
ねぇ恋しちゃったかな |2
WE CAN FLY |2
エトランゼ |2
キャンディスターにお願い |2
君へ |2
輝きの季節 |2
Miss you |2
les larmes de la lune |2
トラウマの耳たぶ |2
ナルシスが嘘をつく |2
こっちを向いて |2
Tomorrow |2
プラチナLover's Day |2
お気に召すまま |2
Jealous |2
優しい夜に。 |2
アジュールの実 |2
月のメロディー |1
流れ星ジェニー |1
BITTER SWEET HOLIDAY |1
春色の風、今も...。 |1
追い風 |1
瞳の旅人 |1
DAYDREAM |1
満月のセンシビリティー |1
Shooting Star |1
パーティーは終わらない |1
Doki Doki ☆ π パイン |1
Love Sick |1
シンデレラ・グラフィティ |1
コードレス★照れ★PHONE |1
Love❤️parade |1
Luminous Party |1
ゆかり王国国歌 |1
Luv Fanatic |1
めろ～ん音頭 |1
まぶしさ |1
うたかた |1
POWDER RAINBOW |1
Pink aquarium |1
Pleasure treasure |1
Primary tale |1
Sand Mark |1
Sewing My MODE |1
スマイルスマイル |1
Love Countdown |1
Don't stop Movin' on! |1
Libido zone |1
恋するラズベリー |1
Ever-Never-Land |1
幽玄サクリファイス |1
幸せになるといいな |1
Fantasia |1
女神転生 |1
太陽のイヴ |1
Hallo Again |1
天使じゃなくても |1
君のポケットの中 |1
傷つく宝石 |1
Kissaway～幻の森~ |1
ラブサイン |1
ブラックダリア |1
フルーツ |1
青空にあいたい |1
