Song title	count	renge((count/457)*100)%
Little Wish 〜first step〜	21	4.595185995623632
惑星のランデブー	19	4.157549234135668
Honey Moon	17	3.719912472647702
Baby’s Breath	16	3.50109409190372
candy smile	14	3.063457330415755
恋せよ女の子	14	3.063457330415755
Love parade	14	3.063457330415755
fancy baby doll	13	2.8446389496717726
童話迷宮	13	2.8446389496717726
Fortune of Love	11	2.4070021881838075
Picnic	11	2.4070021881838075
大好きと涙	9	1.9693654266958425
Ever-Never-Land	9	1.9693654266958425
Cutie Cutie	7	1.5317286652078774
mon cheri	7	1.5317286652078774
Beautiful Amulet	7	1.5317286652078774
星空のSpica	7	1.5317286652078774
恋するラズベリー	7	1.5317286652078774
夢見月のアリス	7	1.5317286652078774
Princess Rose	7	1.5317286652078774
My life is great	7	1.5317286652078774
不可触な愛	7	1.5317286652078774
Super Special Day	7	1.5317286652078774
Butterfly*kiss	7	1.5317286652078774
Sensitive Venus	6	1.312910284463895
Cursed Lily	6	1.312910284463895
虹色バルーン	6	1.312910284463895
Spiritual Garden	6	1.312910284463895
天使のお仕事	6	1.312910284463895
デイジー・ブルー	6	1.312910284463895
君をつれて	6	1.312910284463895
Amazing Kiss	6	1.312910284463895
Melody	6	1.312910284463895
Sugar Time Trip	6	1.312910284463895
エアシューター	5	1.0940919037199124
AMBER 〜人魚の涙〜	5	1.0940919037199124
Black cherry	5	1.0940919037199124
Sweet Darlin'	5	1.0940919037199124
宵待ちの花	5	1.0940919037199124
Baby blue sky	5	1.0940919037199124
Lovely Magic	5	1.0940919037199124
優しい夜に。	5	1.0940919037199124
きらら時間旅行	5	1.0940919037199124
月のメロディー	5	1.0940919037199124
Jelly Fish	4	0.87527352297593
Spring fever	4	0.87527352297593
最果ての森	4	0.87527352297593
Fallin' into you	4	0.87527352297593
薔薇のロマンセ 月のセレーネ	4	0.87527352297593
Sweetest Love	3	0.6564551422319475
さよならをおしえて	3	0.6564551422319475
YOURS EVER	3	0.6564551422319475
あなただけに〜its only my Love〜	3	0.6564551422319475
Eternity	3	0.6564551422319475
眠れぬ夜につかまえて	3	0.6564551422319475
フルーツ	2	0.437636761487965
Snow bird	2	0.437636761487965
恋歌姫	2	0.437636761487965
追い風	2	0.437636761487965
Prince On A Star〜PrincessWhispers〜	2	0.437636761487965
Angel Pride	2	0.437636761487965
わがままな I LOVE YOU	2	0.437636761487965
空の向こう側に	2	0.437636761487965
berry very good love（ソロバージョン）	2	0.437636761487965
les larmes de la lune	2	0.437636761487965
summer melody	2	0.437636761487965
チェルシーガール	1	0.2188183807439825
Traveling with a sheep	1	0.2188183807439825
上弦の月	1	0.2188183807439825
プレゼント	1	0.2188183807439825
めろ〜んのテーマ 〜ゆかり王国国歌〜	1	0.2188183807439825
Happy Life	1	0.2188183807439825
うたかた	1	0.2188183807439825
月華	1	0.2188183807439825
お気に召すまま	1	0.2188183807439825
こっちを向いて	1	0.2188183807439825
永遠	1	0.2188183807439825
Sand Mark	1	0.2188183807439825
君へ	1	0.2188183807439825
つぼみのままで	1	0.2188183807439825
虹の奇跡	1	0.2188183807439825
心の扉	1	0.2188183807439825
miss you	1	0.2188183807439825
恋は波のように	1	0.2188183807439825
未来パラソル	1	0.2188183807439825
うきうき☆タラッタ	1	0.2188183807439825
Primary Tale	1	0.2188183807439825
上海夜曲	1	0.2188183807439825
Missing Piece	1	0.2188183807439825
月へ行こう	1	0.2188183807439825
Happy Loop!	1	0.2188183807439825
fantasia	1	0.2188183807439825
片想いルーレット	1	0.2188183807439825
Petite lumiere	1	0.2188183807439825
Swing Heart	1	0.2188183807439825
You & Me	0	0.0
W:Wonder tale	0	0.0
Gratitude	0	0.0
ガラスの靴にMoonglow	0	0.0
恋のタイムマシン	0	0.0
Super Special Smiling Shy girl	0	0.0
聴こえないように	0	0.0
Darling Darling	0	0.0
シレーヌの心音	0	0.0
LOVE ME NOW！	0	0.0
好きだって言えなくて	0	0.0
チクチク	0	0.0
ケセラセラ	0	0.0
Exactly	0	0.0
Cherry Kiss	0	0.0
砂落ちる水の宮殿	0	0.0
Passion Error	0	0.0
おしえて A to Z	0	0.0
神様Rescue me!!	0	0.0
アンドロメダまで1hour	0	0.0
you	0	0.0
Catch me Cats me	0	0.0
Under Lover	0	0.0
涙のち晴れマーク	0	0.0
Tremolo Mellow	0	0.0
恋と夢と空時計	0	0.0
Endless Story	0	0.0
Only oneのあなたのせいよ	0	0.0
Umbrella Sign	0	0.0
嘘	0	0.0
Pink Pygmalion	0	0.0
Bad eclipse	0	0.0
花火	0	0.0
私だけMissing	0	0.0
それは奇跡なんかじゃない	0	0.0
100 CARAT HEART	0	0.0
恋のアゲハ	0	0.0
パーティーは終わらない	0	0.0
ひとりあやとり	0	0.0
バンビーノ・バンビーナ	0	0.0
アンジュ・パッセ	0	0.0
あのね Love me Do	0	0.0
ゆかりはゆかり	0	0.0
MERRY MERRY MERRY MENU・・・ね！	0	0.0
雨のパンセ	0	0.0
ラブリィ レクチャー	0	0.0
†メタウサ姫 〜黒ゆかり王国ミサ〜†	0	0.0
Fantastic future	0	0.0
星降る夢で逢いましょう	0	0.0
Love Sick	0	0.0
LUNATICA MARE	0	0.0
Luv Fanatic	0	0.0
未来の果てにEscort	0	0.0
ひとひらの恋	0	0.0
シュガー･チューン	0	0.0
この指とまれ	0	0.0
チアガール in my heart	0	0.0
もうちょっとFall in Love	0	0.0
秘密の扉から会いにきて	0	0.0
Tomorrow	0	0.0
ラブサイン	0	0.0
Heavenly Stars	0	0.0
ラブラブベイビーハッピースター	0	0.0
ナルシスが嘘をつく	0	0.0
エキセントリック・ラヴァー	0	0.0
エトランゼ	0	0.0
Tiny Rainbow	0	0.0
ねぇ恋しちゃったかな	0	0.0
咲かせて乙女	0	0.0
PINK AQUARIUM	0	0.0
Double Fascination	0	0.0
My wish My love	0	0.0
神聖炉	0	0.0
I.N.G.	0	0.0
教えて ヴィヴァルディ	0	0.0
Trouble Emotion	0	0.0
Shining Rabbit	0	0.0
ジェラシーのその後で	0	0.0
Libido zone	0	0.0
逢うたびキミを好きになる	0	0.0
スパークリング☆トラベラー	0	0.0
純愛レッスン	0	0.0
I DO 愛	0	0.0
Pleasure treasure	0	0.0
セルフィッシュ	0	0.0
花チル夜道	0	0.0
Closing tears	0	0.0
パピィラヴ	0	0.0
Goody & Happy	0	0.0
Rainy Rainy Sunday	0	0.0
太陽のイヴ	0	0.0
雨音はモノクローム	0	0.0
夢色ラビリンス	0	0.0
レリーフのひとかけら	0	0.0
ひと夏の秘密	0	0.0
Sweet Trap	0	0.0
涙のループ	0	0.0
アジュールの実	0	0.0
恋は天使のチャイムから	0	0.0
君とLOVE	0	0.0
Doki Doki ☆ π パイン	0	0.0
星屑スパイラル	0	0.0
Shooting Star	0	0.0
裸足のプリンセス	0	0.0
ほんのり桜色	0	0.0
好き...でもリベンジ	0	0.0
微笑みのプルマージュ	0	0.0
Sympathy of Love	0	0.0
まだ好きでいさせて	0	0.0
Hello Again	0	0.0
蝶々結び	0	0.0
プラチナLover's Day	0	0.0
アイ マイ ボーダー	0	0.0
if	0	0.0
トラウマの耳たぶ	0	0.0
滑空の果てのイノセント	0	0.0
真新しいカレンダー	0	0.0
ときめきフォーリンラブ	0	0.0
女豹	0	0.0
1、2、の3シャイン	0	0.0
初恋	0	0.0
SUKI・・・っていいでしょ？	0	0.0
Moonlight secret	0	0.0
SUN SUN サマー Touch Me	0	0.0
Luminous Party	0	0.0
流れ星ジェニー	0	0.0
めろ〜ん音頭〜Festival of Kingdom〜	0	0.0
Papillon	0	0.0
キャンディスターにお願い	0	0.0
ココナッツガールは誘われたい	0	0.0
今年いちばん風の強い午後	0	0.0
別の人の彼女になったよ	0	0.0
Never Let You Go	0	0.0
楽園巡礼 ~ Pilgrim of Eden	0	0.0
BITTER SWEET HOLIDAY	0	0.0
Masquerade kiss	0	0.0
嘆きの丘	0	0.0
満月のセンシビリティー	0	0.0
ラムのラブソング	0	0.0
floral blue	0	0.0
コードレス☆照れ☆PHONE	0	0.0
Lost Sequence	0	0.0
14秒後にKISSして	0	0.0
Don't wake me☆Up	0	0.0
Jealous	0	0.0
恋のヒメヒメぺったんこ	0	0.0
HITOME VOLTAGE	0	0.0
幽玄サクリファイス	0	0.0
SECRET EYES	0	0.0
SUKI KIRAI	0	0.0
ENDLESS MEMORIES	0	0.0
だって×2ウキウキ	0	0.0
恋のチカラ	0	0.0
桃色片思い	0	0.0
はんぶん不思議	0	0.0
アチチッチ	0	0.0
後ろから前から	0	0.0
象さんのすきゃんてぃ	0	0.0
真夏のMASQUERADE	0	0.0
囀りのない部屋	0	0.0
砂のオベリスク	0	0.0
マーメイド	0	0.0
アシンメトリー	0	0.0
あいかわらずなボクら	0	0.0
La La Love call	0	0.0
Like a rabbit	0	0.0
プッチャン音頭	0	0.0
センチメンタルジャーニー	0	0.0
１７才	0	0.0
レゾンデートルの鍵	0	0.0
恋におちたペインター	0	0.0
乙女戦士クルピヨン	0	0.0
勇気をください	0	0.0
Sewing My MODE	0	0.0
あ,ほーるうにゅわーるど。	0	0.0
OVER HEAT, OVER HEART	0	0.0
チェリー	0	0.0
Gamble Rumble	0	0.0
恋	0	0.0
永遠のひとつ	0	0.0
恋におちて -Fall in love-	0	0.0
キャラメル	0	0.0
ちょっとだけワルイコ	0	0.0
新⽉のpollen	0	0.0
無限回廊	0	0.0
偶然天使	0	0.0
バレンタイン・キッス	0	0.0
天使のウインク	0	0.0
なんてったってアイドル	0	0.0
キューティーハニー	0	0.0
デリケートに好きして	0	0.0
恋はくえすちょん	0	0.0
Non-Stopping Train	0	0.0
傷つく宝石	0	0.0
片方だけのイヤリング	0	0.0
楽園〜MeiVersion〜	0	0.0
お散歩しようよ	0	0.0
すいと!奇跡少年	0	0.0
Good Love	0	0.0
魔法少女マジカルたん！	0	0.0
記憶のゆりかご	0	0.0
コンパス〜笑顔の行方〜	0	0.0
めてお☆いんぱくと	0	0.0
いざさらば	0	0.0
Le paradis	0	0.0
横顔	0	0.0
打上花火	0	0.0
貴方が好きな私	0	0.0
人魚	0	0.0
なんでもないや	0	0.0
貴方の恋人になりたいのです	0	0.0
痛いよ	0	0.0
ALICE	0	0.0
ラブリー	0	0.0
傷跡	0	0.0
時間の国のアリス	0	0.0
トロッコにのって	0	0.0
